feature,importance,order
dTHdz_15m,0.3778254045155578,1
cosHR,0.07874553314166849,1
T_2m,0.0734034046295765,1
sinHR,0.07331577297034753,1
S_15m,0.050010606234554174,1
P_2m,0.03480609952279906,1
Tdew_2m,0.029724526679482218,1
Spd_10m,0.023757085283125548,1
cosWD,0.012915469184792638,1
sinWD,0.0075250777126486075,1
